sessionId,participantId,age,role,field,reading_freq,reading_style,paperOrder,conditions,contextual_paper,fq_helpful_highlighted_sentences,fq_confidence_understanding,fq_identify_important_info,fq_repeated_known_info,fq_missing_important_info,fq_trust_highlights_key_ideas,fq_new_vs_repeated,fq_focus_novel_important_content,fq_use_in_workflow,fq_like_most_least,fq_missing_confusing_unnecessary,mean_paper_total_score,mean_paper_free_text_score,cross_total_score
-w3AvKVnaBWV,P01,B,C,AI/ML,B,A,"[""paper4"", ""paper5"", ""paper6""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper6,3,3,2,3,3,2,3,3,3,I wasn't sure if highlights were giving me new information.,,6.0,4.0,10
1Y5j3zzSLiPn,P23,B,B,Mechatronics,C,A,"[""paper6"", ""paper4"", ""paper5""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper5,4,4,4,2,2,4,4,4,4,"I really liked using this system, it felt like I was able to fully immerse myself in the content and proactively learn.",I think at this point in time I thought the system worked well.,9.333333333333334,4.666666666666667,9
2-YjQNYBYBqC,P13,A,B,computer science,D,C,"[""paper4"", ""paper5"", ""paper6""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper6,3,3,3,3,4,4,2,3,3,"The color saturation of the highlights made it a bit hard to reach certain parts of the paper, especially if the highlights was on small or thin text.",,7.333333333333333,4.0,10
2FvA4lMHIGC6,P04,C,B,Digital Media & CS,C,D,"[""paper5"", ""paper6"", ""paper4""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper4,4,4,4,3,3,4,3,4,4,I think the embedded highlights was a huge help in helping to identify initial areas of the paper to focus on.,"For some questions, I think the implied answers were a bit hidden in the text and required a bit deeper of an investigation than just a brief skim to find the right answer",8.0,4.333333333333333,10
3Y9tHFuB29bm,P10,A,B,Computer Science,D,B,"[""paper5"", ""paper6"", ""paper4""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper4,3,3,2,3,3,4,2,4,3,"Highlights on the high level were helpful, but in regards to answering specific questions I still needed to do a deeper rinse through of the paper as a whole.",Wasn't sure how new vs old information was presented.,5.0,2.3333333333333335,7
6ojE3t27za7h,P08,C,E,Artificial Intelliegence,C,D,"[""paper4"", ""paper6"", ""paper5""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper5,3,3,3,4,4,4,3,3,3,I felt the highlights were a bit distracting at times.,I think I relied on using command F to find key words from questions as my main method of answering questions.,5.666666666666667,4.0,9
7IOV51oWcucF,P15,C,E,CS/ Product Management,D,D,"[""paper5"", ""paper4"", ""paper6""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper6,4,4,4,3,3,4,2,2,4,i like how the highlights were split into categories so I can quickly map what the highlighted text relates to.,,7.666666666666667,3.3333333333333335,9
GbE3cKPcTDTP,P18,B,B,Computer Science,B,A,"[""paper6"", ""paper5"", ""paper4""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper4,4,3,2,3,3,4,3,3,3,I liked how the system was able to easily highlight important quantities and numerical information to a reader to process.,"Some of the papers seemed like there were very sparse highlighting. It felt like a bit more information from the paper could be deemed as ""important"" through the highlights.",9.0,4.0,8
IKYlrEkGADM1,P06,C,B,Machine Learning and Deep Learning,B,D,"[""paper6"", ""paper5"", ""paper4""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper4,2,3,3,4,4,4,2,2,3,"Overall highlights I believe had some help in answering questions, but I was more busy trying to look for key words from the questions in the text rather than looking at highlights first.",I was not sure how new information was supposed to show up in the text from the survey question above.,7.666666666666667,5.0,5
JyrmZNAazAfE,P17,B,B,Computer Science,C,B,"[""paper6"", ""paper4"", ""paper5""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper5,4,4,4,3,3,4,4,4,5,There was a significant difference in how I approached the papers with highlights vs the one without. I didn't have a lot of direction in answering the questions of the paper without highlights. The highlights helped me focus early on what is appeared to be important,Great reading selection :),5.333333333333333,2.6666666666666665,9
OypI5I6Xeszw,P11,A,B,CS,C,D,"[""paper6"", ""paper4"", ""paper5""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper5,4,4,4,2,3,4,4,4,4,Highlighted texts were greatly helpful in helping me come to question answers faster.,,9.0,4.666666666666667,10
PQ23p4viZMPU,P21,B,B,Data Science,D,B,"[""paper5"", ""paper4"", ""paper6""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper6,4,4,4,4,2,4,4,4,4,"This was a cool system to use, it was well made and helped extract key points of the paper well, helping me answer questions with appropriate knowledge.",Some section highlighting felt sparse and I needed to read more into the non-highlighted sections to make sure I was understanding things correctly. Proximity of the sections did help though.,9.0,4.0,9
TPMlxqwnZxoE,P24,A,B,Information Experience Design,B,C,"[""paper6"", ""paper5"", ""paper4""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper4,4,4,3,2,2,4,2,4,4,"once again, great system in place. It was a cool reading experience overall.",Just had slight trouble with finding some answers in paper 2 but overall was great.,10.0,5.0,9
UHujtjGivmNX,P22,B,B,Computer Engineering,C,B,"[""paper5"", ""paper6"", ""paper4""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper4,4,3,3,3,2,3,3,3,3,I liked how to system was actually able to successfully highlight the key relevant info the at equipped me with the knowledge to answer the questions in the study.,I think sometimes the highlights didint fully capture all relevant infromation,9.666666666666666,4.666666666666667,9
VvVFmWCnsBh9,P02,B,B,Computer vision,D,D,"[""paper4"", ""paper6"", ""paper5""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper5,3,3,2,3,4,4,2,3,3,"The highlights were helpful but I was uncertain how ""New"" information was supposed to be presented or what is considered new information.",,6.0,2.6666666666666665,9
oGkqBiOwjVaX,P14,B,B,computer science,D,C,"[""paper4"", ""paper6"", ""paper5""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper5,3,3,3,3,4,3,2,2,3,highlights probably helped overall but in a time crunched scenario is contributed to the noise,final questionnaire MC felt easy to accomplish and answer selection seemed logical and not necessarily paper dependent,6.333333333333333,4.666666666666667,10
si4VzW7-ppAb,P25,B,C,Computer Science,B,B,"[""paper4"", ""paper5"", ""paper6""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper6,4,3,4,3,4,3,3,4,3,,,10.0,5.0,9
unoYjfZGC4vk,P07,B,B,Computer Science,D,B,"[""paper4"", ""paper5"", ""paper6""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper6,4,3,3,4,2,5,1,4,4,Some of the paper selection was a bit difficult,hard to go into detailed explanation of the word questions due to time constraints.,5.666666666666667,4.0,8
xfDHi0oFCcG1,P19,A,B,Computer Science,C,B,"[""paper4"", ""paper5"", ""paper6""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper6,4,3,3,3,3,3,4,3,3,I liked how the highlights actually gave me colour coded infromation related to the type of information it was emphasizing.,I had to read outside of the highlights sometime as some of the content fet like it was missing to answer the questions.,9.666666666666666,4.666666666666667,9
yoVjdkraxoaw,P05,B,B,Biomedical Engineering,D,D,"[""paper6"", ""paper4"", ""paper5""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper5,4,4,4,3,3,4,2,3,4,I was able to locate information a lot faster with the highlights pointing me to the right location.,"Some questions were easy to answer with a quick find in the papers, but other questions felt too complicated for the allocated time.",5.0,3.3333333333333335,8
ysef_y0CgBcS,P20,B,B,Human Computer Interaction (HCI),C,C,"[""paper4"", ""paper6"", ""paper5""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper5,4,4,3,2,3,3,4,3,3,I though this was a great way to streamline paper reading based off highlights.,Some of the highlights felt like they were un-neccessary or were not highlighting important material.,8.666666666666666,4.333333333333333,9
zBd8hiCijgyR,P12,C,B,Masters of Engineering,C,B,"[""paper6"", ""paper5"", ""paper4""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper4,4,2,2,3,3,5,2,4,4,there was a stark contrast between my ability to understand content with the highlighed papers vs the paper without highlights.,I needed more time to read. 10 minutes isn't enough for me to understand the papers well.,3.3333333333333335,1.6666666666666667,6
ziBB2Pvgz3s3,P09,A,E,AI/ML,C,B,"[""paper5"", ""paper4"", ""paper6""]","[""all_highlights"", ""no_highlights"", ""contextual_highlights""]",paper6,4,3,3,3,2,4,4,3,4,I think highlights were in general helpful,I didn't do time mangement very well which caused a couple sessions to feel rushed,6.666666666666667,4.333333333333333,10
zrekyLviaI_R,P03,B,B,Computer Science,C,B,"[""paper5"", ""paper4"", ""paper6""]","[""no_highlights"", ""all_highlights"", ""contextual_highlights""]",paper6,3,3,4,4,4,4,2,3,4,Unsure how I was expected to know whats considerd new or repeated information from the highlights alone,some of the questions were easy whereas other required a lot more thinking. Felt difficulty wasn't adequately balanced.,5.666666666666667,3.0,6
